epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.5562,3.6945,4.68326,4.19992,0.00094,0.21213,0.00201,0.00078,3.87132,4.37086,4.13731,0.000182647,0.000182647,0.000182647
2,93.9686,3.54441,4.25146,3.99348,0.57758,0.01351,0.00554,0.00171,4.03668,8.65752,4.13022,0.000366159,0.000366159,0.000366159
3,123.347,3.25129,3.87139,3.69104,0.81536,0.04678,0.03764,0.01231,3.09937,12.2534,3.64722,0.000547836,0.000547836,0.000547836
4,157.212,3.04931,3.58292,3.42086,0.80125,0.04247,0.03654,0.01494,2.9486,4.89359,3.34455,0.000547743,0.000547743,0.000547743
5,187.477,2.87485,3.43683,3.18705,0.46556,0.08095,0.04303,0.01454,2.92846,3.75931,3.22093,0.000544991,0.000544991,0.000544991
6,221.975,2.76406,3.30854,3.0314,0.39952,0.12889,0.07031,0.0249,2.8004,3.08204,3.11794,0.000542239,0.000542239,0.000542239
7,251.553,2.64893,3.17522,2.89466,0.34261,0.11315,0.07079,0.02807,2.67749,3.05197,3.0402,0.000539487,0.000539487,0.000539487
8,283.561,2.55236,3.02682,2.7709,0.40252,0.18501,0.11406,0.04228,2.56867,2.96136,2.93828,0.000536735,0.000536735,0.000536735
9,317.128,2.46996,2.9384,2.71376,0.31466,0.15084,0.08532,0.02827,2.58991,2.96087,2.89272,0.000533982,0.000533982,0.000533982
10,347.326,2.41817,2.81755,2.62105,0.37705,0.17504,0.1365,0.05233,2.56885,2.77195,2.87182,0.00053123,0.00053123,0.00053123
11,381.836,2.33191,2.79225,2.55902,0.45658,0.23155,0.15574,0.06407,2.38477,2.6765,2.72126,0.000528478,0.000528478,0.000528478
12,416.73,2.24449,2.72676,2.46905,0.39007,0.22184,0.19213,0.08473,2.32828,2.59397,2.65111,0.000525726,0.000525726,0.000525726
13,448.146,2.21469,2.59323,2.41446,0.47373,0.21006,0.19279,0.08152,2.29821,2.5682,2.63261,0.000522974,0.000522974,0.000522974
14,480.631,2.17036,2.53292,2.36424,0.41009,0.23141,0.20539,0.0929,2.27014,2.4555,2.57839,0.000520221,0.000520221,0.000520221
15,511.2,2.13858,2.43265,2.32125,0.48113,0.24177,0.22675,0.10579,2.2371,2.44902,2.57558,0.000517469,0.000517469,0.000517469
16,544.517,2.09857,2.40549,2.29198,0.47993,0.27792,0.27195,0.12677,2.25798,2.3765,2.57979,0.000514717,0.000514717,0.000514717
