epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.8537,3.47752,4.76649,4.17878,0.00045,0.04153,0.00113,0.00043,3.28326,4.34187,4.11382,0.000137218,0.000137218,0.000137218
2,103.558,3.37817,4.30246,3.96991,0.30865,0.01694,0.01104,0.00389,3.27869,6.01834,3.814,0.000274395,0.000274395,0.000274395
3,152.083,3.2021,3.87658,3.68487,0.58207,0.03282,0.02501,0.0083,3.00407,3.58834,3.59928,0.000409737,0.000409737,0.000409737
4,201.784,2.92697,3.50928,3.3426,0.52746,0.03619,0.02955,0.01148,2.66965,3.51262,3.25683,0.000408743,0.000408743,0.000408743
5,259.349,2.61035,3.24651,3.01854,0.24414,0.06363,0.03874,0.01429,2.50907,3.18016,2.92268,0.000405991,0.000405991,0.000405991
6,308.193,2.4093,3.03853,2.78644,0.32537,0.09744,0.07302,0.02813,2.31999,2.85878,2.77586,0.000403239,0.000403239,0.000403239
7,357.831,2.23568,2.89568,2.63426,0.3358,0.13942,0.0911,0.0329,2.23417,2.7601,2.65392,0.000400487,0.000400487,0.000400487
8,404.727,2.15254,2.74452,2.5133,0.317,0.15543,0.11104,0.04794,2.12336,2.55957,2.52288,0.000397735,0.000397735,0.000397735
9,451.06,2.05764,2.70357,2.43582,0.38275,0.15945,0.12359,0.05341,2.09087,2.45957,2.51031,0.000394982,0.000394982,0.000394982
10,498.855,1.99935,2.613,2.36697,0.41916,0.16966,0.13843,0.06546,1.96541,2.42479,2.39456,0.00039223,0.00039223,0.00039223
11,552.08,1.93232,2.54387,2.30401,0.44912,0.18876,0.16482,0.07296,1.93554,2.31621,2.34905,0.000389478,0.000389478,0.000389478
12,600.848,1.8896,2.48569,2.26346,0.4841,0.21028,0.16585,0.07571,1.87917,2.31545,2.29218,0.000386726,0.000386726,0.000386726
13,642.256,1.85699,2.41271,2.21753,0.42489,0.21906,0.18754,0.0895,1.86712,2.27572,2.2969,0.000383974,0.000383974,0.000383974
14,680.942,1.80794,2.36041,2.16721,0.51708,0.21168,0.20125,0.09919,1.82871,2.17902,2.24798,0.000381221,0.000381221,0.000381221
15,723.764,1.78578,2.33437,2.14586,0.55486,0.1969,0.21812,0.10378,1.80779,2.08803,2.21011,0.000378469,0.000378469,0.000378469
16,767.136,1.76422,2.26373,2.1046,0.47995,0.21522,0.22868,0.11344,1.7724,2.04404,2.15468,0.000375717,0.000375717,0.000375717
17,806.471,1.73622,2.25115,2.0805,0.52066,0.22102,0.22797,0.11745,1.74979,2.00975,2.11519,0.000372965,0.000372965,0.000372965
18,848.864,1.69782,2.18708,2.0513,0.56465,0.23103,0.24737,0.12449,1.72404,2.00983,2.10793,0.000370213,0.000370213,0.000370213
19,897.452,1.67521,2.18999,2.02359,0.52862,0.22058,0.25075,0.12876,1.69223,2.05049,2.06665,0.00036746,0.00036746,0.00036746
20,937.087,1.68104,2.15526,2.01092,0.46464,0.27866,0.26466,0.14068,1.66755,1.90493,2.05424,0.000364708,0.000364708,0.000364708
21,976.381,1.64692,2.09429,1.98657,0.49658,0.2811,0.28358,0.14957,1.65097,1.89209,2.03263,0.000361956,0.000361956,0.000361956
22,1019.31,1.62922,2.10478,1.97951,0.47985,0.26706,0.29364,0.16016,1.66659,1.87656,2.04974,0.000359204,0.000359204,0.000359204
23,1061.83,1.61112,2.04501,1.95297,0.56775,0.28266,0.30703,0.17185,1.57824,1.80726,1.95567,0.000356452,0.000356452,0.000356452
24,1101.06,1.60396,2.00715,1.93361,0.6068,0.27753,0.29264,0.16031,1.59867,1.85181,1.9702,0.000353699,0.000353699,0.000353699
25,1144.65,1.59012,2.01534,1.93248,0.53155,0.31631,0.306,0.16329,1.6245,1.82203,1.98226,0.000350947,0.000350947,0.000350947
26,1187.23,1.57225,1.97346,1.90155,0.57143,0.29037,0.30615,0.16696,1.56757,1.78037,1.94085,0.000348195,0.000348195,0.000348195
27,1232.65,1.56743,1.96343,1.89509,0.55504,0.32987,0.33962,0.19148,1.53934,1.7232,1.90308,0.000345443,0.000345443,0.000345443
28,1276.66,1.54262,1.95466,1.87622,0.55236,0.30126,0.32928,0.18783,1.53269,1.77569,1.92315,0.000342691,0.000342691,0.000342691
29,1321.14,1.5401,1.91473,1.8713,0.51164,0.33035,0.34088,0.19715,1.53774,1.71632,1.89546,0.000339938,0.000339938,0.000339938
30,1359.19,1.52904,1.90254,1.8591,0.58819,0.31533,0.34298,0.19424,1.53772,1.70408,1.8905,0.000337186,0.000337186,0.000337186
31,1401.71,1.5258,1.8953,1.85322,0.57715,0.34923,0.37336,0.21195,1.51272,1.6961,1.89437,0.000334434,0.000334434,0.000334434
32,1445.72,1.50407,1.88517,1.84179,0.59624,0.32876,0.38391,0.21437,1.52062,1.69836,1.88703,0.000331682,0.000331682,0.000331682
33,1485.27,1.48572,1.85342,1.82541,0.64964,0.31586,0.37183,0.21216,1.5025,1.68521,1.86888,0.00032893,0.00032893,0.00032893
34,1534.92,1.4938,1.85257,1.81447,0.62351,0.34998,0.37026,0.21837,1.49936,1.65336,1.84022,0.000326177,0.000326177,0.000326177
35,1578.11,1.48205,1.8198,1.81449,0.57357,0.3855,0.39025,0.22704,1.47584,1.62332,1.82226,0.000323425,0.000323425,0.000323425
36,1618.89,1.46541,1.80838,1.79379,0.61647,0.3601,0.38318,0.22496,1.47674,1.63012,1.8234,0.000320673,0.000320673,0.000320673
37,1657.89,1.45634,1.80079,1.79449,0.66255,0.33008,0.36883,0.21833,1.46017,1.63282,1.81644,0.000317921,0.000317921,0.000317921
38,1700.31,1.47141,1.79064,1.78431,0.62008,0.34457,0.38373,0.22658,1.47264,1.6053,1.82313,0.000315169,0.000315169,0.000315169
39,1744.47,1.45391,1.78575,1.78084,0.61806,0.34489,0.39908,0.23587,1.44281,1.59907,1.80449,0.000312416,0.000312416,0.000312416
40,1784.03,1.43847,1.75487,1.76354,0.60946,0.36122,0.39248,0.24053,1.44183,1.59535,1.79693,0.000309664,0.000309664,0.000309664
41,1826.49,1.43681,1.74635,1.75653,0.60079,0.38928,0.41537,0.24419,1.44314,1.56374,1.79147,0.000306912,0.000306912,0.000306912
42,1876.24,1.41275,1.73664,1.74862,0.56875,0.4103,0.40636,0.24443,1.4449,1.60724,1.78602,0.00030416,0.00030416,0.00030416
43,1915.09,1.43626,1.72757,1.75111,0.62506,0.35168,0.40056,0.24574,1.43016,1.55958,1.77303,0.000301408,0.000301408,0.000301408
44,1958.65,1.4077,1.72584,1.73313,0.64068,0.39221,0.42354,0.25197,1.40889,1.53626,1.74254,0.000298655,0.000298655,0.000298655
45,2003.09,1.40678,1.70019,1.72697,0.58369,0.37564,0.41592,0.25026,1.42103,1.53152,1.77375,0.000295903,0.000295903,0.000295903
46,2043.51,1.39364,1.65915,1.71603,0.6698,0.3829,0.423,0.2499,1.4134,1.51564,1.74526,0.000293151,0.000293151,0.000293151
47,2083.97,1.39157,1.67992,1.70794,0.59736,0.37883,0.43401,0.26173,1.40316,1.51264,1.76291,0.000290399,0.000290399,0.000290399
48,2128.25,1.38253,1.6674,1.71325,0.57845,0.42357,0.43749,0.27406,1.41268,1.50788,1.7662,0.000287647,0.000287647,0.000287647
49,2175.32,1.37915,1.6657,1.70458,0.63317,0.37155,0.41879,0.25484,1.405,1.51382,1.73484,0.000284894,0.000284894,0.000284894
