epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.641,3.18909,4.76235,4.05826,0.00364,0.25671,0.00691,0.00145,2.91851,4.47865,3.65168,0.00332951,0.00332951,0.00332951
2,272.308,2.27197,3.92228,2.85639,0.59451,0.14951,0.14725,0.06578,2.03041,3.10829,2.78191,0.00658039,0.00658039,0.00658039
3,388.449,1.74738,3.06247,2.2398,0.35177,0.31539,0.24962,0.12918,1.79601,2.78965,2.4101,0.00974877,0.00974877,0.00974877
4,515.127,1.58145,2.54092,2.01489,0.51573,0.37379,0.36466,0.20727,1.60101,2.20018,2.1751,0.00962875,0.00962875,0.00962875
5,630.374,1.46053,2.18791,1.88089,0.55045,0.46988,0.47338,0.28062,1.52263,1.90861,2.03688,0.009505,0.009505,0.009505
6,753.54,1.40503,2.00493,1.80876,0.57819,0.48274,0.51786,0.31653,1.40015,1.76051,1.90218,0.00938125,0.00938125,0.00938125
7,869.11,1.3566,1.86305,1.75333,0.65385,0.5347,0.59253,0.3831,1.33707,1.56061,1.8256,0.0092575,0.0092575,0.0092575
8,984.605,1.31407,1.74805,1.70442,0.71649,0.55292,0.60812,0.39939,1.29549,1.4867,1.77935,0.00913375,0.00913375,0.00913375
9,1093.09,1.29299,1.66418,1.67501,0.70387,0.57192,0.63137,0.4194,1.27691,1.48734,1.75554,0.00901,0.00901,0.00901
10,1215.09,1.25158,1.59606,1.64707,0.72512,0.60041,0.66822,0.45066,1.24244,1.35222,1.72089,0.00888625,0.00888625,0.00888625
11,1330.44,1.23827,1.55095,1.63584,0.76307,0.60189,0.68102,0.45514,1.24111,1.32284,1.70535,0.0087625,0.0087625,0.0087625
12,1444.16,1.21398,1.50238,1.61153,0.73232,0.63109,0.68212,0.47446,1.19768,1.2476,1.65502,0.00863875,0.00863875,0.00863875
13,1563.78,1.19648,1.4511,1.5888,0.73065,0.63597,0.6908,0.48252,1.18413,1.21635,1.64831,0.008515,0.008515,0.008515
14,1680.67,1.1807,1.4143,1.57852,0.79292,0.60621,0.69917,0.48758,1.16369,1.21692,1.60692,0.00839125,0.00839125,0.00839125
15,1806.03,1.16374,1.3869,1.55969,0.73282,0.6786,0.7279,0.51307,1.14869,1.17028,1.60186,0.0082675,0.0082675,0.0082675
16,1926.14,1.15161,1.34957,1.5446,0.79254,0.66396,0.73991,0.51757,1.15043,1.13582,1.5884,0.00814375,0.00814375,0.00814375
17,2045.47,1.1287,1.31306,1.53139,0.7454,0.69736,0.73724,0.52631,1.11837,1.10963,1.56806,0.00802,0.00802,0.00802
18,2165.89,1.11997,1.2873,1.51992,0.81597,0.69491,0.7605,0.53664,1.13563,1.0646,1.57374,0.00789625,0.00789625,0.00789625
19,2282.65,1.1196,1.26876,1.514,0.81019,0.69017,0.76013,0.5366,1.10543,1.0492,1.55169,0.0077725,0.0077725,0.0077725
20,2408.4,1.10325,1.24433,1.50004,0.81475,0.68995,0.77098,0.55368,1.08776,1.04206,1.52691,0.00764875,0.00764875,0.00764875
21,2534.93,1.10402,1.22673,1.49666,0.84136,0.68618,0.77373,0.55488,1.08915,1.02661,1.52301,0.007525,0.007525,0.007525
22,2655.13,1.08655,1.21146,1.48463,0.81689,0.70637,0.78232,0.56945,1.07855,1.00094,1.51037,0.00740125,0.00740125,0.00740125
23,2776.76,1.07612,1.18755,1.47492,0.81138,0.72105,0.79186,0.5723,1.06099,0.97729,1.48973,0.0072775,0.0072775,0.0072775
24,2898.96,1.06385,1.16618,1.46309,0.82563,0.72244,0.78891,0.56991,1.05514,0.97095,1.48486,0.00715375,0.00715375,0.00715375
25,3017.53,1.066,1.15982,1.46111,0.8197,0.73426,0.80112,0.58163,1.0514,0.95435,1.47675,0.00703,0.00703,0.00703
26,3137.21,1.05354,1.1442,1.45423,0.83214,0.7203,0.79414,0.57741,1.04687,0.93843,1.47497,0.00690625,0.00690625,0.00690625
27,3261.05,1.04323,1.12432,1.44901,0.81876,0.72627,0.79962,0.58798,1.03909,0.93397,1.46502,0.0067825,0.0067825,0.0067825
28,3385.68,1.04736,1.12018,1.44361,0.79935,0.73761,0.79839,0.58347,1.03215,0.92529,1.45049,0.00665875,0.00665875,0.00665875
29,3515.03,1.02621,1.09048,1.42824,0.82488,0.73608,0.81092,0.59453,1.01564,0.89945,1.44161,0.006535,0.006535,0.006535
30,3640.51,1.03561,1.08362,1.43099,0.8532,0.70393,0.81091,0.59887,1.01939,0.88327,1.44337,0.00641125,0.00641125,0.00641125
31,3769,1.01924,1.06957,1.41974,0.84093,0.73818,0.8144,0.60297,1.00474,0.88486,1.43555,0.0062875,0.0062875,0.0062875
32,3891.69,1.0205,1.06857,1.42252,0.82328,0.76272,0.8204,0.60459,1.00952,0.86739,1.43289,0.00616375,0.00616375,0.00616375
33,4019.86,1.01414,1.05646,1.41409,0.85261,0.73874,0.82483,0.60706,1.00509,0.86117,1.42431,0.00604,0.00604,0.00604
34,4139.83,1.00435,1.04211,1.41217,0.8316,0.73832,0.81767,0.60961,0.99561,0.86309,1.41528,0.00591625,0.00591625,0.00591625
35,4270.83,1.00723,1.03159,1.40503,0.83778,0.75656,0.82641,0.61689,0.99601,0.84933,1.41412,0.0057925,0.0057925,0.0057925
36,4389.1,0.9958,1.01573,1.39749,0.82059,0.76867,0.82697,0.61859,0.98093,0.83473,1.39872,0.00566875,0.00566875,0.00566875
37,4506.08,0.9894,1.00494,1.39359,0.84595,0.75823,0.82989,0.62498,0.9818,0.82914,1.4007,0.005545,0.005545,0.005545
38,4622.22,0.98943,1.00383,1.39279,0.81065,0.78386,0.83195,0.62672,0.97588,0.821,1.39073,0.00542125,0.00542125,0.00542125
39,4745.14,0.97793,0.99387,1.38372,0.83412,0.76614,0.83253,0.62608,0.9759,0.81889,1.39387,0.0052975,0.0052975,0.0052975
40,4859.4,0.97909,0.98695,1.38219,0.82102,0.78497,0.83482,0.62633,0.96949,0.81165,1.388,0.00517375,0.00517375,0.00517375
41,4974.65,0.97459,0.9735,1.37972,0.84633,0.76554,0.83586,0.62652,0.97144,0.81609,1.38772,0.00505,0.00505,0.00505
42,5092.27,0.96307,0.95725,1.37217,0.83833,0.77086,0.8361,0.63303,0.96396,0.80351,1.38001,0.00492625,0.00492625,0.00492625
43,5211.53,0.95746,0.95384,1.36737,0.8349,0.77745,0.83554,0.62956,0.96487,0.8007,1.37725,0.0048025,0.0048025,0.0048025
44,5334.72,0.96118,0.94675,1.36586,0.83039,0.78286,0.83823,0.63182,0.96477,0.7949,1.37773,0.00467875,0.00467875,0.00467875
45,5451.98,0.95481,0.94154,1.36261,0.83633,0.78036,0.84076,0.63595,0.96067,0.78661,1.37279,0.004555,0.004555,0.004555
46,5573.43,0.94863,0.93527,1.35877,0.8455,0.78588,0.84534,0.63921,0.96096,0.77736,1.37113,0.00443125,0.00443125,0.00443125
47,5692.98,0.94663,0.92195,1.35427,0.83548,0.78663,0.84568,0.64275,0.95724,0.77941,1.36974,0.0043075,0.0043075,0.0043075
48,5813.8,0.94351,0.91721,1.35316,0.83746,0.77998,0.84705,0.64459,0.95111,0.77347,1.36676,0.00418375,0.00418375,0.00418375
49,5933.11,0.93779,0.91878,1.34885,0.82475,0.79484,0.84729,0.64514,0.94623,0.76794,1.36327,0.00406,0.00406,0.00406
50,6059.32,0.93045,0.90488,1.34431,0.82418,0.79039,0.84793,0.64741,0.94102,0.7644,1.35723,0.00393625,0.00393625,0.00393625
51,6176.33,0.9275,0.89191,1.34072,0.82132,0.79737,0.8496,0.64795,0.94371,0.76147,1.35841,0.0038125,0.0038125,0.0038125
52,6297.17,0.92122,0.88513,1.33839,0.8397,0.79402,0.85205,0.64728,0.94306,0.75832,1.35685,0.00368875,0.00368875,0.00368875
53,6417.47,0.9191,0.89323,1.33697,0.84405,0.79237,0.85198,0.64873,0.93885,0.757,1.35289,0.003565,0.003565,0.003565
54,6535.16,0.91581,0.87733,1.33005,0.82763,0.79909,0.85194,0.65035,0.93682,0.75554,1.34957,0.00344125,0.00344125,0.00344125
55,6658.77,0.9043,0.86294,1.32653,0.82417,0.80047,0.85143,0.64878,0.93398,0.75436,1.34738,0.0033175,0.0033175,0.0033175
56,6774.02,0.91187,0.86545,1.32325,0.82064,0.80395,0.85145,0.65055,0.93349,0.74972,1.34797,0.00319375,0.00319375,0.00319375
57,6897.17,0.90191,0.856,1.32326,0.81771,0.81186,0.85285,0.65131,0.92993,0.74859,1.34501,0.00307,0.00307,0.00307
58,7014.26,0.90059,0.85062,1.3188,0.82497,0.80995,0.85406,0.65018,0.92803,0.74484,1.34285,0.00294625,0.00294625,0.00294625
59,7139.66,0.89541,0.84948,1.31836,0.82577,0.8057,0.85639,0.65303,0.92704,0.74235,1.34239,0.0028225,0.0028225,0.0028225
60,7266.92,0.89332,0.83361,1.31684,0.82251,0.81158,0.85721,0.65424,0.92636,0.74033,1.33996,0.00269875,0.00269875,0.00269875
61,7385.64,0.89389,0.83811,1.31006,0.82295,0.81297,0.85727,0.65602,0.9251,0.73762,1.33746,0.002575,0.002575,0.002575
62,7513.63,0.88833,0.82824,1.30787,0.82295,0.81194,0.85651,0.65596,0.92368,0.73635,1.33566,0.00245125,0.00245125,0.00245125
63,7632.69,0.87382,0.81455,1.30144,0.82195,0.80587,0.85621,0.65596,0.92354,0.73574,1.33486,0.0023275,0.0023275,0.0023275
64,7763.68,0.87117,0.8041,1.29643,0.82723,0.80686,0.85711,0.65589,0.9233,0.73442,1.33414,0.00220375,0.00220375,0.00220375
65,7889.59,0.87117,0.81106,1.2979,0.83142,0.80407,0.85719,0.65637,0.92268,0.73257,1.33325,0.00208,0.00208,0.00208
66,8007.52,0.8677,0.80717,1.29635,0.83024,0.80461,0.85831,0.65735,0.92255,0.73044,1.33232,0.00195625,0.00195625,0.00195625
67,8127.81,0.85827,0.78454,1.28832,0.83491,0.80663,0.86065,0.65826,0.92196,0.72796,1.33152,0.0018325,0.0018325,0.0018325
68,8258.54,0.85767,0.79203,1.28761,0.83923,0.8074,0.86169,0.65983,0.9211,0.72539,1.3303,0.00170875,0.00170875,0.00170875
69,8381.12,0.85705,0.78592,1.28568,0.83753,0.80483,0.86202,0.66071,0.92087,0.72363,1.32974,0.001585,0.001585,0.001585
70,8510.91,0.84873,0.77126,1.28483,0.83806,0.8085,0.86255,0.65981,0.92081,0.72217,1.32956,0.00146125,0.00146125,0.00146125
71,8641.39,0.81635,0.65759,1.30266,0.82908,0.82068,0.86354,0.66092,0.91955,0.71993,1.3281,0.0013375,0.0013375,0.0013375
72,8766.61,0.79506,0.633,1.2862,0.8287,0.82155,0.86402,0.66114,0.91744,0.71736,1.32614,0.00121375,0.00121375,0.00121375
73,8890.5,0.78102,0.61711,1.27494,0.82787,0.82031,0.86316,0.6622,0.9166,0.71519,1.32504,0.00109,0.00109,0.00109
74,9013.25,0.77846,0.6155,1.277,0.83179,0.82109,0.86467,0.66184,0.9154,0.71324,1.32447,0.00096625,0.00096625,0.00096625
75,9133.33,0.76857,0.60263,1.27204,0.83392,0.81978,0.86562,0.66258,0.91428,0.71124,1.32328,0.0008425,0.0008425,0.0008425
76,9258.4,0.75953,0.59477,1.259,0.83509,0.81953,0.86593,0.66372,0.91302,0.70946,1.32196,0.00071875,0.00071875,0.00071875
77,9378.7,0.75876,0.58503,1.26063,0.83443,0.81911,0.86642,0.66474,0.91128,0.70773,1.32051,0.000595,0.000595,0.000595
78,9501.44,0.75117,0.57669,1.25107,0.83169,0.81991,0.86568,0.6654,0.91026,0.70598,1.31948,0.00047125,0.00047125,0.00047125
79,9626.14,0.74456,0.57855,1.24716,0.8341,0.82101,0.86606,0.66632,0.90902,0.70476,1.31873,0.0003475,0.0003475,0.0003475
80,9747.33,0.74248,0.5693,1.24776,0.83544,0.82326,0.8663,0.66663,0.90808,0.70349,1.31795,0.00022375,0.00022375,0.00022375
