epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.3368,3.52408,4.70976,4.13971,0.00217,0.14408,0.00284,0.00062,3.5965,9.64214,4.06595,0.000174365,0.000174365,0.000174365
2,175.094,3.20212,4.24358,3.71449,0.27406,0.06229,0.00866,0.00207,3.06477,4.00967,3.58321,0.00034537,0.00034537,0.00034537
3,258.91,2.81366,3.94159,3.24624,0.30113,0.07266,0.02866,0.0086,2.72965,3.80367,3.21884,0.000512037,0.000512037,0.000512037
4,342.685,2.50318,3.65975,2.89099,0.33665,0.04551,0.04119,0.01504,2.46066,3.96121,2.97604,0.000506472,0.000506472,0.000506472
5,425.829,2.30044,3.40257,2.66977,0.39792,0.15457,0.06765,0.02665,2.38234,3.98357,2.80814,0.000499963,0.000499963,0.000499963
6,505.417,2.15896,3.20287,2.51657,0.39982,0.12405,0.10811,0.04905,2.35208,3.70095,2.77249,0.000493454,0.000493454,0.000493454
7,589.105,2.05623,3.01253,2.39504,0.46324,0.1609,0.11922,0.05017,2.22113,3.50832,2.6519,0.000486945,0.000486945,0.000486945
8,670.804,2.01797,2.87436,2.34259,0.35307,0.21342,0.19292,0.08382,2.13711,3.00188,2.58014,0.000480435,0.000480435,0.000480435
9,750.107,1.97433,2.78907,2.2883,0.4469,0.2336,0.20946,0.09822,2.11166,2.8729,2.51607,0.000473926,0.000473926,0.000473926
10,832.76,1.92744,2.68024,2.23854,0.44892,0.29052,0.26269,0.11634,2.10546,2.87671,2.52417,0.000467417,0.000467417,0.000467417
11,915.576,1.87881,2.58824,2.20165,0.56062,0.24089,0.24914,0.12115,2.14217,2.8695,2.53875,0.000460907,0.000460907,0.000460907
12,1010.26,1.87567,2.51612,2.17355,0.54908,0.2894,0.28882,0.13547,2.0179,2.76825,2.43162,0.000454398,0.000454398,0.000454398
13,1104.09,1.83524,2.42571,2.1337,0.62419,0.28472,0.32995,0.15947,1.97803,2.55375,2.37786,0.000447889,0.000447889,0.000447889
14,1193.92,1.79397,2.36088,2.09884,0.62079,0.3057,0.35848,0.19016,1.95286,2.49509,2.32392,0.00044138,0.00044138,0.00044138
15,1276.94,1.80908,2.35546,2.08866,0.54099,0.33353,0.31831,0.15737,1.96144,2.53209,2.37596,0.00043487,0.00043487,0.00043487
