epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.809,3.30185,4.71075,4.13705,0.0027,0.27654,0.00495,0.00135,2.9717,4.36639,3.92053,0.00332774,0.00332774,0.00332774
2,142.514,2.60157,4.06064,3.24943,0.4872,0.07406,0.05877,0.02285,2.33227,3.54767,3.14196,0.00659513,0.00659513,0.00659513
3,207.416,1.91659,3.22753,2.43844,0.37251,0.22595,0.20401,0.10104,1.93998,2.78288,2.58468,0.00979652,0.00979652,0.00979652
4,271.83,1.72646,2.71287,2.17636,0.36563,0.31398,0.28151,0.15003,1.75097,2.35743,2.32017,0.009703,0.009703,0.009703
5,336.768,1.62043,2.38669,2.0378,0.5581,0.35707,0.37567,0.20844,1.67823,2.10563,2.19553,0.009604,0.009604,0.009604
6,400.505,1.5439,2.17325,1.94598,0.5824,0.39905,0.43779,0.24626,1.60707,1.94552,2.1291,0.009505,0.009505,0.009505
7,465.32,1.48708,2.02861,1.88136,0.61922,0.46698,0.48964,0.29114,1.47713,1.73888,2.00722,0.009406,0.009406,0.009406
8,529.401,1.43752,1.89156,1.82297,0.64855,0.46892,0.50149,0.30747,1.43,1.58862,1.95528,0.009307,0.009307,0.009307
9,594.038,1.40221,1.81111,1.79059,0.70158,0.48793,0.55379,0.32461,1.427,1.5672,1.9392,0.009208,0.009208,0.009208
10,657.981,1.37669,1.73739,1.76618,0.68779,0.50094,0.57775,0.33774,1.36787,1.48549,1.86076,0.009109,0.009109,0.009109
11,721.011,1.35301,1.67729,1.73568,0.72716,0.52786,0.6303,0.3818,1.32677,1.43118,1.79897,0.00901,0.00901,0.00901
12,783.564,1.3211,1.60587,1.70347,0.67544,0.52236,0.56507,0.35485,1.31702,1.43967,1.79777,0.008911,0.008911,0.008911
13,846.509,1.31174,1.58457,1.68634,0.69619,0.55592,0.59292,0.36683,1.26705,1.34776,1.75075,0.008812,0.008812,0.008812
14,910.2,1.28738,1.53645,1.66787,0.71128,0.58174,0.61799,0.39679,1.2639,1.30739,1.73585,0.008713,0.008713,0.008713
15,974.529,1.26547,1.47813,1.64395,0.71634,0.56532,0.69059,0.44556,1.23771,1.22819,1.71539,0.008614,0.008614,0.008614
16,1038.04,1.26723,1.45315,1.6385,0.77406,0.53589,0.65648,0.42949,1.2259,1.23657,1.69183,0.008515,0.008515,0.008515
17,1101.85,1.23772,1.43151,1.62072,0.73856,0.57972,0.64483,0.42313,1.19993,1.20736,1.67402,0.008416,0.008416,0.008416
18,1164.3,1.22937,1.39411,1.61113,0.74494,0.5908,0.67334,0.44673,1.20105,1.16008,1.66577,0.008317,0.008317,0.008317
19,1226.37,1.21761,1.37109,1.59672,0.7435,0.59397,0.69756,0.45189,1.16453,1.15946,1.63438,0.008218,0.008218,0.008218
20,1290.23,1.20359,1.35776,1.58486,0.78072,0.61903,0.69484,0.45832,1.14453,1.09875,1.60931,0.008119,0.008119,0.008119
21,1353.93,1.19212,1.32179,1.5743,0.71969,0.67996,0.72182,0.48062,1.14809,1.10701,1.60057,0.00802,0.00802,0.00802
22,1417.16,1.17892,1.2977,1.55585,0.66759,0.68722,0.73623,0.48431,1.12548,1.08782,1.59192,0.007921,0.007921,0.007921
23,1480.36,1.17381,1.2808,1.54933,0.75682,0.64133,0.72606,0.47691,1.12987,1.08477,1.58945,0.007822,0.007822,0.007822
24,1544.97,1.15425,1.25843,1.53924,0.66545,0.68297,0.72355,0.48582,1.11101,1.05131,1.56517,0.007723,0.007723,0.007723
25,1608.67,1.15159,1.24298,1.53183,0.66591,0.69376,0.72347,0.4814,1.10729,1.03544,1.56073,0.007624,0.007624,0.007624
26,1671.61,1.14953,1.22573,1.53349,0.756,0.67526,0.7447,0.49776,1.11377,1.02131,1.56201,0.007525,0.007525,0.007525
27,1735.39,1.13,1.20245,1.51568,0.76584,0.65435,0.74616,0.5047,1.09206,1.01321,1.55565,0.007426,0.007426,0.007426
28,1798.8,1.12705,1.19202,1.51239,0.78673,0.6603,0.74566,0.50567,1.08263,1.0006,1.52756,0.007327,0.007327,0.007327
29,1863.73,1.11809,1.17947,1.50656,0.752,0.73462,0.76569,0.52893,1.07814,0.98843,1.5287,0.007228,0.007228,0.007228
30,1928.05,1.11067,1.1639,1.49609,0.7657,0.71514,0.76468,0.52155,1.0705,0.97038,1.52338,0.007129,0.007129,0.007129
31,1991.93,1.10122,1.14639,1.48917,0.8118,0.63922,0.76552,0.52812,1.05203,0.95247,1.50586,0.00703,0.00703,0.00703
32,2053.61,1.11258,1.14939,1.48579,0.81229,0.71981,0.7886,0.54198,1.05951,0.95039,1.51134,0.006931,0.006931,0.006931
33,2118.87,1.0924,1.12293,1.4808,0.80831,0.65422,0.77414,0.53616,1.04626,0.93437,1.49844,0.006832,0.006832,0.006832
34,2184.77,1.08171,1.11589,1.47234,0.7314,0.74502,0.78146,0.54502,1.02654,0.92015,1.48474,0.006733,0.006733,0.006733
35,2249.63,1.08662,1.11662,1.47458,0.7451,0.67819,0.75854,0.53082,1.02958,0.9277,1.48248,0.006634,0.006634,0.006634
36,2313.07,1.07475,1.0958,1.46417,0.84445,0.67558,0.79461,0.55484,1.0274,0.90666,1.4792,0.006535,0.006535,0.006535
37,2375.15,1.06393,1.09215,1.45782,0.80967,0.71138,0.79707,0.5536,1.02702,0.88872,1.47615,0.006436,0.006436,0.006436
38,2438.62,1.05926,1.07578,1.44863,0.81786,0.68749,0.79299,0.55678,1.02669,0.89276,1.47485,0.006337,0.006337,0.006337
39,2501.82,1.06653,1.06815,1.44859,0.79982,0.69256,0.79375,0.56109,1.02454,0.88939,1.47303,0.006238,0.006238,0.006238
40,2564.71,1.05312,1.05444,1.44305,0.80312,0.70876,0.81254,0.5721,1.00731,0.86829,1.45779,0.006139,0.006139,0.006139
41,2628.57,1.03941,1.04315,1.44098,0.85263,0.66493,0.79957,0.56193,1.01142,0.8747,1.46294,0.00604,0.00604,0.00604
42,2691.88,1.03891,1.03361,1.4336,0.86394,0.67936,0.81064,0.57258,1.00196,0.85726,1.46067,0.005941,0.005941,0.005941
43,2754.9,1.03139,1.03193,1.42597,0.79874,0.7184,0.80806,0.56863,1.00604,0.85313,1.44908,0.005842,0.005842,0.005842
44,2819.43,1.03726,1.02275,1.43137,0.76614,0.75865,0.80292,0.57066,0.99941,0.8567,1.44564,0.005743,0.005743,0.005743
45,2882.69,1.0256,1.01948,1.42254,0.78028,0.78377,0.8155,0.57235,0.98863,0.83752,1.43398,0.005644,0.005644,0.005644
46,2945.89,1.0178,1.00596,1.41696,0.75769,0.76174,0.80593,0.56028,0.98631,0.83758,1.42596,0.005545,0.005545,0.005545
47,3010.23,1.01389,1.00884,1.41392,0.79662,0.7235,0.80172,0.56339,0.98459,0.83448,1.4247,0.005446,0.005446,0.005446
48,3073.8,1.01512,0.98911,1.41283,0.77227,0.75113,0.81177,0.56757,0.97574,0.82119,1.41761,0.005347,0.005347,0.005347
49,3137.26,1.00352,0.97724,1.40612,0.7482,0.77696,0.81699,0.57694,0.97258,0.82171,1.41254,0.005248,0.005248,0.005248
50,3201,1.0015,0.97616,1.40201,0.84213,0.73184,0.82304,0.58318,0.97079,0.826,1.41088,0.005149,0.005149,0.005149
51,3263.76,1.00405,0.97403,1.39952,0.83336,0.72091,0.81595,0.57919,0.96889,0.81773,1.40828,0.00505,0.00505,0.00505
52,3326.45,1.00467,0.97253,1.39737,0.81522,0.7725,0.83095,0.59352,0.96644,0.80748,1.40618,0.004951,0.004951,0.004951
53,3389.04,0.99976,0.95805,1.3959,0.85426,0.72752,0.82696,0.58664,0.96281,0.80632,1.40523,0.004852,0.004852,0.004852
