epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.105,1.11038,2.75788,1.45212,0.67967,0.58591,0.6266,0.43223,1.16195,1.99448,1.56021,0.00332951,0.00332951,0.00332951
2,319.204,1.15642,1.86988,1.48662,0.63718,0.59121,0.59705,0.37964,1.26757,2.08685,1.67385,0.00660788,0.00660788,0.00660788
3,468.555,1.26953,1.95527,1.57527,0.47669,0.38707,0.36156,0.19993,1.63112,2.84436,2.0534,0.00983124,0.00983124,0.00983124
4,616.297,1.30171,1.89392,1.60455,0.65697,0.55536,0.62207,0.41459,1.27615,1.60711,1.75251,0.0097525,0.0097525,0.0097525
5,762.63,1.22618,1.5829,1.53643,0.71029,0.63139,0.66518,0.45308,1.21533,1.36402,1.64103,0.00967,0.00967,0.00967
6,908.914,1.17967,1.43329,1.4991,0.79043,0.63197,0.7187,0.493,1.2081,1.24832,1.61457,0.0095875,0.0095875,0.0095875
7,1056.87,1.14283,1.31576,1.46933,0.78502,0.66815,0.75237,0.52747,1.14874,1.09652,1.54479,0.009505,0.009505,0.009505
8,1202.98,1.10939,1.23526,1.44574,0.80274,0.67969,0.76401,0.54072,1.09475,1.03528,1.49505,0.0094225,0.0094225,0.0094225
9,1350.34,1.08892,1.16484,1.42518,0.76264,0.73204,0.78104,0.56022,1.09209,1.00499,1.49678,0.00934,0.00934,0.00934
10,1494.42,1.07115,1.13139,1.41147,0.79763,0.69407,0.77097,0.55417,1.09408,1.00271,1.47713,0.0092575,0.0092575,0.0092575
11,1640.21,1.05296,1.1012,1.40629,0.8149,0.70252,0.7874,0.57112,1.05315,0.94837,1.46261,0.009175,0.009175,0.009175
12,1786.5,1.02954,1.04986,1.38867,0.78673,0.73957,0.80166,0.58939,1.03333,0.93015,1.43974,0.0090925,0.0090925,0.0090925
13,1932.71,1.01453,1.03775,1.37531,0.8431,0.71289,0.81073,0.6009,1.01472,0.873,1.42146,0.00901,0.00901,0.00901
14,2079.31,1.02082,1.00655,1.37639,0.85426,0.71436,0.81333,0.60272,1.00775,0.8512,1.40704,0.0089275,0.0089275,0.0089275
15,2226.19,1.00391,0.98394,1.36375,0.81069,0.7684,0.82634,0.61645,0.99117,0.83463,1.38346,0.008845,0.008845,0.008845
16,2371.14,0.99709,0.97088,1.35707,0.82451,0.74764,0.82377,0.61528,0.97484,0.81622,1.36263,0.0087625,0.0087625,0.0087625
17,2516.91,0.99264,0.95169,1.35006,0.82059,0.76781,0.82775,0.62165,0.97205,0.78429,1.37032,0.00868,0.00868,0.00868
